episode,n_labeled,accuracy_center,accuracy_outer,risk_center,risk_outer,true_risk_gap,mean_confidence_outer,jacobian_raw,jacobian_soft,ipm_raw,ipm_soft,bound_margin_raw,bound_margin_soft,seed
0,10,0.91975,0.4137,0.13637296142578126,1.16957587890625,1.0332029174804687,0.997466015625,0.003597563934326172,0.024346430969238282,0.29777328162193295,0.2928690841674805,-0.7354296358585357,-0.7403338333129882,42
1,20,0.92075,0.41615,0.122883740234375,1.1556353515625,1.032751611328125,0.99185400390625,0.011749147033691407,0.08140119018554688,0.6483885302572308,0.5916924598460684,-0.38436308107089423,-0.44105915148205654,42
2,30,0.9255,0.3915,0.11005894775390625,1.20089853515625,1.0908395874023438,0.9882630859375,0.016859024047851563,0.09543983154296876,0.3352991176896306,0.3101256278624017,-0.7555404697127132,-0.780713959539942,42
