episode,accuracy_center_mean,accuracy_center_std,accuracy_outer_mean,accuracy_outer_std,risk_center_mean,risk_center_std,risk_outer_mean,risk_outer_std,true_risk_gap_mean,true_risk_gap_std,mean_confidence_outer_mean,mean_confidence_outer_std,jacobian_raw_mean,jacobian_raw_std,jacobian_soft_mean,jacobian_soft_std,ipm_raw_mean,ipm_raw_std,ipm_soft_mean,ipm_soft_std,bound_margin_raw_mean,bound_margin_raw_std,bound_margin_soft_mean,bound_margin_soft_std,n_labeled_mean,n_labeled_std
0,0.93458,0.02539927558022079,0.39608,0.03467651654938827,0.10725823974609375,0.061310801769795045,1.201236875,0.06547411046223013,1.0939786352539063,0.0041633086924350434,0.9960171875,0.0019889587929562743,0.005765957336425782,0.002933410298348734,0.03469373779296875,0.019376352012001337,0.2852174110651017,0.019827125861742508,0.28596966978311544,0.021631781574128157,-0.8087612241888045,0.01566381716930741,-0.8080089654707907,0.017468472881693016,10.0,0.0
1,0.93323,0.026403367209505636,0.43001,0.03825447686219225,0.10979296630859375,0.06555805522380721,1.1084534375,0.03714531358464036,0.9986604711914062,0.028412741639166923,0.9822772656250001,0.021140835475959453,0.026216649322509764,0.03139070195212408,0.12394943359375,0.10644978833492769,0.568782088602928,0.045355733510139315,0.5463435644773079,0.020789474594972084,-0.42987838258847816,0.016942991870972427,-0.45231690671409824,0.007623267044194801,20.0,0.0
2,0.92913,0.026771062735722693,0.42644,0.028255986976214436,0.116050048828125,0.06783602665022435,1.1301526171875,0.04714098609203693,1.014102568359375,0.020695040558187452,0.9888358203125001,0.006451410252133495,0.016058961181640626,0.009137730665681106,0.10485396484375001,0.022805574761198155,0.4011733715240662,0.19109529275988976,0.33855080029389284,0.11839755522056594,-0.6129291968353089,0.1704002522017022,-0.6755517680654822,0.0977025146623784,30.0,0.0
3,0.92208,0.03866459879528046,0.44233,0.04410932101041683,0.1306853173828125,0.08859439607843393,1.0851592187499999,0.10956862642441588,0.9544739013671875,0.020974230345981885,0.980219765625,0.013632024372365565,0.028892200927734375,0.019982245503455984,0.14943703125,0.03836844258794127,0.43058574838404307,0.08995661635651059,0.394022401353987,0.06785576490142924,-0.5238881529831445,0.11093084670249238,-0.5604515000132005,0.08882999524741109,40.0,0.0
