rotation_deg,scale_x,scale_y,l2_normalize,n_population,moment_shift_fro,source_mean_norm,target_mean_norm,source_brier_risk,target_brier_risk,risk_gap,critic_ipm,critic_steps,best_validation_objective,elapsed_sec
0,1.0,1.0,True,1000000,0.0007659332477487624,1.0053415044897207e-10,2.3022625472712832e-10,0.2270209640264511,0.2267644703388214,-0.0002564936876296997,1.225341796876056e-05,500,0.0019421130418777466,1.92
0,1.5,0.6666666666666666,True,1000000,0.20708633959293365,1.0053415044897207e-10,5.685783441289338e-11,0.2270209640264511,0.18503262102603912,-0.04198834300041199,0.03290259353637696,500,0.0357547290623188,0.86
0,2.0,0.5,True,1000000,0.33687707781791687,1.0053415044897207e-10,3.006934631843983e-11,0.2270209640264511,0.14417986571788788,-0.08284109830856323,0.06331485609436036,500,0.0654224306344986,0.78
0,3.0,0.3333333333333333,True,1000000,0.47329530119895935,1.0053415044897207e-10,1.8279153191080866e-10,0.2270209640264511,0.10149777680635452,-0.125523179769516,0.09470311067199706,500,0.09623442590236664,0.84
0,4.0,0.25,True,1000000,0.5351334810256958,1.0053415044897207e-10,1.7228152238146777e-10,0.2270209640264511,0.08518260717391968,-0.14183835685253143,0.11223566790771485,500,0.1099705621600151,0.78
15,1.0,1.0,True,1000000,0.21651029586791992,1.0053415044897207e-10,8.608206508720073e-11,0.2270209640264511,0.25590619444847107,0.02888523042201996,0.009058735107421861,500,0.010773375630378723,0.82
15,1.5,0.6666666666666666,True,1000000,0.09296461194753647,1.0053415044897207e-10,1.574438357465624e-10,0.2270209640264511,0.2439042627811432,0.016883298754692078,0.014820441406249996,500,0.016267165541648865,0.82
15,2.0,0.5,True,1000000,0.15454138815402985,1.0053415044897207e-10,1.3808222620870225e-10,0.2270209640264511,0.22023896872997284,-0.0067819952964782715,0.039325782104492196,500,0.04009418189525604,0.75
15,3.0,0.3333333333333333,True,1000000,0.27148136496543884,1.0053415044897207e-10,6.749859698951255e-11,0.2270209640264511,0.1758953481912613,-0.05112561583518982,0.07018052932739258,500,0.0675470381975174,0.87
15,4.0,0.25,True,1000000,0.3282924294471741,1.0053415044897207e-10,3.6670760178436623e-11,0.2270209640264511,0.15321673452854156,-0.07380422949790955,0.08466140803527832,500,0.08195255696773529,0.78
30,1.0,1.0,True,1000000,0.41869840025901794,1.0053415044897207e-10,2.478880156697727e-10,0.2270209640264511,0.30571702122688293,0.07869605720043182,0.04043660375976563,500,0.043062835931777954,0.8
30,1.5,0.6666666666666666,True,1000000,0.2937237620353699,1.0053415044897207e-10,5.7082831517174526e-11,0.2270209640264511,0.31413182616233826,0.08711086213588715,0.025782398193359368,500,0.028425604104995728,0.78
30,2.0,0.5,True,1000000,0.2475094348192215,1.0053415044897207e-10,1.5945307574316558e-10,0.2270209640264511,0.319926381111145,0.09290541708469391,0.04418370434570312,500,0.04603251814842224,0.82
30,3.0,0.3333333333333333,True,1000000,0.23887711763381958,1.0053415044897207e-10,1.6917327261278814e-10,0.2270209640264511,0.301723450422287,0.07470248639583588,0.07600526110839845,500,0.07338958978652954,0.81
30,4.0,0.25,True,1000000,0.25140848755836487,1.0053415044897207e-10,6.627481896614995e-11,0.2270209640264511,0.2821362614631653,0.05511529743671417,0.0910162127380371,500,0.08842013776302338,0.79
45,1.0,1.0,True,1000000,0.5921050310134888,1.0053415044897207e-10,1.7924257911250407e-10,0.2270209640264511,0.3155019283294678,0.08848096430301666,0.08851541638183594,500,0.08989419043064117,0.82
45,1.5,0.6666666666666666,True,1000000,0.5044266581535339,1.0053415044897207e-10,1.267189686515735e-10,0.2270209640264511,0.36717385053634644,0.14015288650989532,0.06963452441406251,500,0.06865516304969788,0.78
45,2.0,0.5,True,1000000,0.4634718894958496,1.0053415044897207e-10,1.2029936768964689e-10,0.2270209640264511,0.4001876413822174,0.1731666773557663,0.06508382470703125,500,0.06858111917972565,0.87
45,3.0,0.3333333333333333,True,1000000,0.42611855268478394,1.0053415044897207e-10,6.580525707677864e-11,0.2270209640264511,0.4303322732448578,0.20331130921840668,0.09611714721679689,500,0.09865820407867432,0.83
45,4.0,0.25,True,1000000,0.4113832414150238,1.0053415044897207e-10,1.4191078867575868e-10,0.2270209640264511,0.43549826741218567,0.20847730338573456,0.11877281030273439,500,0.11562584340572357,0.83
60,1.0,1.0,True,1000000,0.7254414558410645,1.0053415044897207e-10,3.720265762119368e-11,0.2270209640264511,0.23805880546569824,0.011037841439247131,0.13126059896850586,500,0.13470831513404846,0.87
60,1.5,0.6666666666666666,True,1000000,0.684115469455719,1.0053415044897207e-10,8.817886004708342e-11,0.2270209640264511,0.3147752285003662,0.0877542644739151,0.1211107349243164,500,0.12329677492380142,0.84
60,2.0,0.5,True,1000000,0.6654948592185974,1.0053415044897207e-10,2.593925352289972e-10,0.2270209640264511,0.36193540692329407,0.13491444289684296,0.11939850158691406,500,0.12016075849533081,0.85
60,3.0,0.3333333333333333,True,1000000,0.6405699253082275,1.0053415044897207e-10,7.524004336234569e-11,0.2270209640264511,0.4197705090045929,0.19274954497814178,0.12609091650390625,500,0.12582236528396606,0.77
60,4.0,0.25,True,1000000,0.626396119594574,1.0053415044897207e-10,3.913284279954965e-11,0.2270209640264511,0.4491102695465088,0.22208930552005768,0.130201492980957,500,0.12971355020999908,0.82
75,1.0,1.0,True,1000000,0.8097872734069824,1.0053415044897207e-10,8.707542326069628e-11,0.2270209640264511,0.1411200910806656,-0.08590087294578552,0.1542188330078125,500,0.15872043371200562,0.76
75,1.5,0.6666666666666666,True,1000000,0.819037675857544,1.0053415044897207e-10,1.3242268392943402e-10,0.2270209640264511,0.19195415079593658,-0.035066813230514526,0.1572656542053223,500,0.16119109094142914,0.81
75,2.0,0.5,True,1000000,0.8267225027084351,1.0053415044897207e-10,1.906470120660586e-10,0.2270209640264511,0.22632230818271637,-0.0006986558437347412,0.16058019091796877,500,0.16420415043830872,0.87
75,3.0,0.3333333333333333,True,1000000,0.8268604874610901,1.0053415044897207e-10,1.4657730584843875e-10,0.2270209640264511,0.2711600959300995,0.044139131903648376,0.1621669971923828,500,0.16516020894050598,0.78
75,4.0,0.25,True,1000000,0.823633074760437,1.0053415044897207e-10,2.415490585327973e-10,0.2270209640264511,0.29719483852386475,0.07017387449741364,0.16914012899780276,500,0.17163138091564178,0.83
