episode,n_labeled,accuracy_mean,accuracy_std,true_risk_gap_mean,true_risk_gap_std,ipm_mean,ipm_std,moment_gap_fro_mean,moment_gap_fro_std,bound_slack_mean,bound_slack_std
0,10,0.5730550090471903,0.08942592871965258,0.38523241380850476,0.057640260131103405,0.547196914718628,0.031218855357855513,0.7038510044415792,0.12303977320701229,0.16196450091012318,0.029253818369020034
1,20,0.5442716677983602,0.07033340507085843,0.2530808572967847,0.14047314088815696,0.5405997759687171,0.13593248915423115,0.5329395433266958,0.45100057502723695,0.2875189186719324,0.009016592213869792
2,30,0.5978283286094666,0.04832900167900122,0.16181493053833643,0.1558595100812414,0.28058921116508734,0.20043271333188692,0.3961771180232366,0.3765551631387958,0.11877428062675088,0.04497145221300709
3,40,0.6257663369178772,0.000332962925462439,0.11901515225569408,0.1327946463558628,0.2727774979205773,0.06753917775825662,0.32116669913132984,0.257503663356893,0.15376234566488323,0.06986809314814907
4,50,0.6258509953816732,0.00020702611213950926,0.10851987202962239,0.13733808471230638,0.18014050906090148,0.1606905878726315,0.2711690366268158,0.23957863104701274,0.07162063703127909,0.03652549187239945
5,60,0.625835657119751,0.0001975250894663401,0.13049554328123728,0.11436637727552094,0.2027289770840214,0.06436504333738172,0.23215700934330621,0.22519998462220364,0.07223343380278413,0.05711502288639159
6,70,0.6258543531099955,0.00019411012218794723,0.1389842132727305,0.09111955035494672,0.1690527449083018,0.11488000237754227,0.23407585670550665,0.193088707446129,0.030068531635571282,0.024507468370396995
7,80,0.6258563200632731,0.0001918752517467996,0.1508848319451014,0.07581245294750863,0.18520346526216544,0.045763176642193204,0.2549978792667389,0.15639403519694556,0.034318633317064,0.033816766534132056
8,90,0.6031703352928162,0.03928536960789826,0.14460023244222006,0.06057779071112776,0.16272545592521992,0.07519174775263938,0.24856080611546835,0.11852779193214612,0.018125223482999872,0.01778284730398835
9,100,0.6160303354263306,0.017004828374932474,0.14591151475906372,0.03961248734767398,0.1773937522612623,0.017993946086875844,0.24228199323018393,0.10873674599001708,0.031482237502198605,0.021782043924145577
10,110,0.5948010087013245,0.05373126004719918,0.1499678095181783,0.0385681008808377,0.16590428427775294,0.03805210257164088,0.24396096666653952,0.10187359985721722,0.015936474759574642,0.022668129713447213
11,120,0.6012376546859741,0.04255334882341076,0.14260807633399963,0.029982021001707212,0.1718215101100781,0.01331284220937526,0.2479419062534968,0.08450348851635348,0.029213433776078462,0.03161169012989517
12,130,0.5984726746877035,0.04670137524897867,0.1399445434411367,0.028488847078066624,0.15556839017759957,0.005851079846111839,0.25339851280053455,0.07063802379096899,0.015623846736462887,0.03413534183801873
13,140,0.5979423324267069,0.048164294867571476,0.1321124235788981,0.02055981900462436,0.1511646329948991,0.030806676381061764,0.2463481922944387,0.046621165225101284,0.019052209416000988,0.04458594221270522
14,150,0.6019156773885092,0.04100183007859307,0.12493247787157695,0.01706368212070775,0.14256152305071182,0.0213529863365033,0.24340924620628357,0.03985992810033526,0.017629045179134883,0.028804818536150998
15,160,0.61907031138738,0.011657212251108714,0.11433249711990356,0.0172800563802365,0.13052825296873594,0.027364504495971442,0.22542001803716025,0.037926724053590495,0.01619575584883236,0.022801182010308865
16,170,0.6242676774660746,0.00274954568599119,0.10452520847320557,0.016024466068519524,0.1192538490894608,0.02520613399619077,0.2079282303651174,0.03540842397447537,0.014728640616255234,0.03059663627493505
17,180,0.6258043249448141,0.0002223422815940582,0.10100547472635905,0.017726820945833912,0.11846026221003335,0.038644249540725185,0.20818408330281576,0.05351980515092151,0.017454787483674298,0.027461819267910883
18,190,0.6257323225339254,0.00030640420492641506,0.0994943380355835,0.023301557102056034,0.11017736238772903,0.05115438302695558,0.21131344139575958,0.07688500685283452,0.01068302435214554,0.032163083008053914
19,200,0.6258629957834879,0.0001867799430366644,0.10112408796946208,0.02828457638386843,0.12184299188498211,0.05370867853336922,0.22003892560799918,0.08798784258035115,0.02071890391552003,0.031878627169342824
20,210,0.6258416573206583,0.00020187601606834317,0.10200774669647217,0.019873992626149493,0.1240946465625193,0.031161293393855136,0.22223873933156332,0.0720498635088156,0.022086899866047144,0.02679833559019815
