episode,n_labeled,accuracy,boundary_accuracy,true_risk_L,true_risk_U,true_risk_gap,abs_true_risk_gap,ipm,bound_slack,moment_gap_fro,seed
0,10,0.4697999954223633,0.14784400165081024,0.20171485841274261,0.5241135954856873,0.32239873707294464,0.32239873707294464,0.5111758361206055,0.18877709904766082,0.8444627523422241,42
1,20,0.4920380115509033,0.204367995262146,0.11916317790746689,0.5060327053070068,0.38686952739953995,0.38686952739953995,0.6748590409201973,0.2879895135206574,1.0536664724349976,42
2,30,0.6258599758148193,0.9987779855728149,0.10976012796163559,0.4505767822265625,0.3408166542649269,0.3408166542649269,0.5098406571053224,0.16902400284039554,0.8309576511383057,42
3,40,0.6258620023727417,0.9997400045394897,0.1879524439573288,0.45974624156951904,0.27179379761219025,0.27179379761219025,0.34604140058062516,0.07424760296843491,0.6168473362922668,42
4,50,0.625868022441864,0.9997580051422119,0.1908929944038391,0.4579133093357086,0.2670203149318695,0.2670203149318695,0.3611417724660952,0.09412145753422568,0.5446716547012329,42
5,60,0.6258320212364197,0.9996079802513123,0.20867644250392914,0.4698558747768402,0.26117943227291107,0.26117943227291107,0.2690739058102699,0.007894473537358837,0.48734310269355774,42
6,70,0.625872015953064,0.9998180270195007,0.21100419759750366,0.4543429911136627,0.24333879351615906,0.24333879351615906,0.3013860153240217,0.05804722180786265,0.4551047384738922,42
7,80,0.6258699893951416,0.9998019933700562,0.21737609803676605,0.4553120732307434,0.23793597519397736,0.23793597519397736,0.23738542234608034,-0.0005505528478970123,0.4353407025337219,42
8,90,0.557807981967926,0.47780200839042664,0.24908971786499023,0.45894473791122437,0.20985502004623413,0.20985502004623413,0.24749114313469894,0.03763612308846481,0.37895700335502625,42
9,100,0.5963959693908691,0.7453359961509705,0.27390795946121216,0.455314040184021,0.18140608072280884,0.18140608072280884,0.1947428470716524,0.013336766348843565,0.3325900435447693,42
10,110,0.5327579975128174,0.34120598435401917,0.3073972463607788,0.4837367832660675,0.1763395369052887,0.1763395369052887,0.20737864559656954,0.031039108691280848,0.2955443859100342,42
